date,vemquartile,outcome,value,type
2021-09-06,4,cases,8692,observed
2021-09-06,4,hosps,426,observed
2021-09-06,4,deaths,60,observed
2021-09-13,1,cases,19351,observed
2021-09-13,1,hosps,1318,observed
2021-09-13,1,deaths,268,observed
2021-09-13,2,cases,14741,observed
2021-09-13,2,hosps,930,observed
2021-09-13,2,deaths,208,observed
2021-09-13,3,cases,11658,observed
2021-09-13,3,hosps,663,observed
2021-09-13,3,deaths,133,observed
2021-09-13,4,cases,7354,observed
2021-09-13,4,hosps,330,observed
2021-09-13,4,deaths,44,observed
2021-09-20,1,cases,16008,observed
2021-09-20,1,hosps,1097,observed
2021-09-20,1,deaths,229,observed
2021-09-20,2,cases,11750,observed
2021-09-20,2,hosps,766,observed
2021-09-20,2,deaths,176,observed
2021-09-20,3,cases,9816,observed
2021-09-20,3,hosps,570,observed
2021-09-20,3,deaths,103,observed
2021-09-20,4,cases,6353,observed
2021-09-20,4,hosps,310,observed
2021-09-20,4,deaths,50,observed
2021-09-27,1,cases,14122,observed
2021-09-27,1,hosps,977,observed
2021-09-27,1,deaths,200,observed
2021-09-27,2,cases,10520,observed
2021-09-27,2,hosps,680,observed
2021-09-27,2,deaths,143,observed
2021-09-27,3,cases,8476,observed
2021-09-27,3,hosps,450,observed
2021-09-27,3,deaths,73,observed
2021-09-27,4,cases,5800,observed
2021-09-27,4,hosps,250,observed
2021-09-27,4,deaths,50,observed
2021-10-04,1,cases,12974,observed
2021-10-04,1,hosps,905,observed
2021-10-04,1,deaths,189,observed
2021-10-04,2,cases,9476,observed
2021-10-04,2,hosps,642,observed
2021-10-04,2,deaths,131,observed
2021-10-04,3,cases,7914,observed
2021-10-04,3,hosps,428,observed
2021-10-04,3,deaths,82,observed
2021-10-04,4,cases,5382,observed
2021-10-04,4,hosps,245,observed
2021-10-04,4,deaths,31,observed
2021-10-11,1,cases,12458,observed
2021-10-11,1,hosps,884,observed
2021-10-11,1,deaths,207,observed
2021-10-11,2,cases,9222,observed
2021-10-11,2,hosps,631,observed
2021-10-11,2,deaths,128,observed
2021-10-11,3,cases,7392,observed
2021-10-11,3,hosps,406,observed
2021-10-11,3,deaths,83,observed
2021-10-11,4,cases,5121,observed
2021-10-11,4,hosps,224,observed
2021-10-11,4,deaths,32,observed
2021-10-18,1,cases,13905,observed
2021-10-18,1,hosps,1042,observed
2021-10-18,1,deaths,238,observed
2021-10-18,2,cases,10515,observed
2021-10-18,2,hosps,690,observed
2021-10-18,2,deaths,167,observed
2021-10-18,3,cases,8307,observed
2021-10-18,3,hosps,452,observed
2021-10-18,3,deaths,91,observed
2021-10-18,4,cases,5857,observed
2021-10-18,4,hosps,290,observed
2021-10-18,4,deaths,44,observed
2021-10-25,1,cases,14056,observed
2021-10-25,1,hosps,1041,observed
2021-10-25,1,deaths,249,observed
2021-10-25,2,cases,10436,observed
2021-10-25,2,hosps,685,observed
2021-10-25,2,deaths,140,observed
2021-10-25,3,cases,8556,observed
2021-10-25,3,hosps,482,observed
2021-10-25,3,deaths,98,observed
2021-10-25,4,cases,6104,observed
2021-10-25,4,hosps,290,observed
2021-10-25,4,deaths,47,observed
2021-03-01,1,cases,1499.2869027447214,counterfactual
2021-03-01,1,hosps,40.62814683401969,counterfactual
2021-03-01,1,deaths,16.15088917753252,counterfactual
2021-03-01,2,cases,-229.0403169660179,counterfactual
2021-03-01,2,hosps,-48.69760049124767,counterfactual
2021-03-01,2,deaths,-13.628884991142645,counterfactual
2021-03-01,3,cases,-184.67567276647827,counterfactual
2021-03-01,3,hosps,1.873009152061209,counterfactual
2021-03-01,3,deaths,14.846664731347294,counterfactual
2021-03-01,4,cases,-700.6499399105376,counterfactual
2021-03-01,4,hosps,1.4548252990217931,counterfactual
2021-03-01,4,deaths,11.031110539287841,counterfactual
2021-03-08,1,cases,1213.4928489356646,counterfactual
2021-03-08,1,hosps,-1.5329597412680065,counterfactual
2021-03-08,1,deaths,-12.12791890347324,counterfactual
2021-03-08,2,cases,-206.91381284450551,counterfactual
2021-03-08,2,hosps,-7.00409233700187,counterfactual
2021-03-08,2,deaths,15.34679835140346,counterfactual
2021-03-08,3,cases,-350.019172916707,counterfactual
2021-03-08,3,hosps,5.884261060649469,counterfactual
2021-03-08,3,deaths,2.4057741899203835,counterfactual
2021-03-08,4,cases,-608.2729672793048,counterfactual
2021-03-08,4,hosps,-15.307010700184588,counterfactual
2021-03-08,4,deaths,-2.6110530104459637,counterfactual
2021-03-15,1,cases,2029.0058371846208,counterfactual
2021-03-15,1,hosps,47.539465078414864,counterfactual
2021-03-15,1,deaths,-10.798602460015676,counterfactual
2021-03-15,2,cases,401.8788655671823,counterfactual
2021-03-15,2,hosps,-42.47727753064453,counterfactual
2021-03-15,2,deaths,-11.716433600244395,counterfactual
2021-03-15,3,cases,-90.07315689579895,counterfactual
2021-03-15,3,hosps,0.18655331704584277,counterfactual
